Sales_ID,Date,Product_ID,Distributor_ID,Customer_ID,Units_Sold,Revenue,Target,Profit,Defect_Rate_%,Return_%,On_time_Delivery_%
S000212,2024-12-31,P0018,D0254,C00678,146,6883,17553,668,6.69,3.18,89.03
S000213,2024-07-11,P0064,D0180,C00396,191,26295,43527,330,2.53,3.88,95.56
S000214,2025-02-27,P0082,D0040,C00231,381,18074,32157,1094,9.9,2.69,93.5
S000215,2024-01-15,P0110,D0264,C00804,165,49937,32736,9948,9.12,2.3,81.36
S000216,2024-08-30,P0095,D0189,C00028,71,7842,21780,4139,2.65,1.1,83.02
S000217,2024-07-24,P0166,D0008,C00475,439,32556,16023,6019,9.87,0.39,96.8
S000218,2024-01-11,P0032,D0104,C00295,201,9301,20819,9081,6.26,2.36,99.31
S000219,2024-07-30,P0011,D0225,C00845,355,38326,2877,2725,7.29,4.34,92.73
S000220,2025-02-26,P0045,D0034,C00427,12,32579,21436,9328,2.83,0.3,87.3
S000221,2023-10-21,P0033,D0236,C00872,52,26090,36803,4538,2.16,4.95,84.42
S000222,2025-05-21,P0102,D0228,C00091,441,9828,4248,1712,8.58,4.73,94.87
S000223,2024-10-07,P0169,D0188,C00115,256,39080,54025,8630,2.75,3.2,92.77
S000224,2024-02-21,P0136,D0022,C00159,302,1626,11383,7302,9.18,4.57,98.18
S000225,2024-11-24,P0011,D0040,C00258,360,33837,9714,6141,3.67,2.77,98.06
S000226,2024-04-20,P0179,D0173,C00373,300,24933,37320,685,0.09,2.02,86.14
S000227,2025-03-25,P0088,D0179,C00850,487,22997,33235,5705,5.92,2.86,96.06
S000228,2024-11-28,P0041,D0086,C00090,408,33591,22989,521,3.54,4.38,85.07
S000229,2024-06-02,P0145,D0133,C00757,9,15432,3706,9605,9.76,4.79,95.64
S000230,2025-06-24,P0076,D0013,C00298,140,29375,17219,1413,3.87,4.19,83.36
S000231,2025-03-30,P0121,D0028,C00031,100,11042,33668,3942,3.14,0.9,86.95
S000232,2024-10-25,P0046,D0084,C00829,485,21703,3532,7559,5.66,2.96,81.72
S000233,2024-07-14,P0160,D0280,C00358,137,23345,50973,8039,7.3,2.22,85.92
S000234,2024-06-24,P0080,D0263,C00824,359,12070,37276,6621,9.67,2.41,86.36
S000235,2024-01-23,P0054,D0166,C00470,366,12544,50346,1277,0.7,2.14,93.37
S000236,2024-11-14,P0086,D0293,C00740,372,9059,17849,1766,4.2,0.34,94.31
S000237,2025-04-11,P0092,D0068,C00851,22,40552,36793,4628,6.64,4.23,91.76
S000238,2025-09-17,P0148,D0226,C00128,145,19018,58297,7057,0.05,4.89,95.4
S000239,2024-05-01,P0161,D0170,C00782,161,15093,49287,8806,4.89,1.05,89.03
S000240,2024-05-26,P0168,D0086,C00270,249,45436,3537,3429,8.07,3.11,92.56
S000241,2025-07-24,P0160,D0133,C00498,175,3543,33867,5561,0.51,2.68,87.19
S000242,2024-09-02,P0097,D0178,C00413,88,17118,9307,4697,3.41,4.48,90.43
S000243,2025-08-10,P0002,D0252,C00209,399,8353,30051,9280,4.01,3.52,82.82
S000244,2024-02-09,P0033,D0015,C00690,477,14349,55866,9709,7.16,3.75,92.22
S000245,2024-05-09,P0158,D0223,C00306,480,1768,28447,5074,2.96,4.76,84.1
S000246,2024-05-29,P0161,D0201,C00191,33,15163,11302,5272,2.46,3.32,89.22
S000247,2024-09-18,P0077,D0107,C00357,477,16095,7275,6671,1.16,2.27,93.31
S000248,2024-02-05,P0116,D0250,C00457,271,3603,43231,2114,9.96,0.26,88.56
S000249,2025-03-28,P0154,D0089,C00449,283,1991,15730,6918,4.72,4.53,84.46
S000250,2023-11-26,P0150,D0125,C00068,226,27304,20074,8742,0.48,2.95,93.32
S000251,2023-12-26,P0103,D0113,C00839,445,43988,35202,8825,0.77,3.41,97.05
S000252,2024-04-23,P0194,D0137,C00779,452,17872,2902,6775,1.28,2.53,90.01
S000253,2024-01-24,P0166,D0247,C00782,497,9179,36791,4918,2.12,1.97,91.15
S000254,2024-08-28,P0103,D0166,C00874,112,5152,14739,1643,7.4,2.52,87.82
S000255,2025-05-01,P0090,D0150,C00467,82,28895,57209,9110,5.59,0.24,91.66
S000256,2025-07-27,P0174,D0068,C00360,213,27727,40581,1789,7.77,3.99,89.91
S000257,2025-05-09,P0122,D0221,C00387,304,28180,28351,5782,0.2,0.79,94.93
S000258,2024-06-09,P0143,D0271,C00128,8,1734,16685,2393,2.65,1.66,84.81
S000259,2025-04-04,P0106,D0020,C00776,134,6678,56214,9764,4.06,0.43,89.72
S000260,2024-07-25,P0119,D0289,C00733,447,37077,19977,8537,4.29,4.1,86.32
S000261,2025-05-12,P0172,D0100,C00754,118,25946,40286,9106,0.54,0.84,81.89
S000262,2024-08-04,P0049,D0252,C00485,84,27649,38707,3214,5.12,1.99,87.73
S000263,2024-07-26,P0104,D0077,C00244,258,48496,38161,8684,2.87,2.08,99.06
S000264,2025-08-19,P0061,D0135,C00939,243,5701,8139,4358,1.91,1.58,89.21
S000265,2025-09-19,P0195,D0173,C00905,237,29781,29967,4707,6.71,4.3,90.91
S000266,2024-09-15,P0123,D0201,C00019,150,14060,29786,9462,0.84,3.86,94.84
S000267,2024-10-01,P0134,D0217,C00396,374,27877,15828,2293,8.67,3.72,99.7
S000268,2024-06-03,P0009,D0208,C00667,21,11022,8224,7678,9,1.13,88.24
S000269,2024-10-25,P0006,D0074,C00229,134,19243,53078,7511,3.26,0.95,90.35
S000270,2024-05-10,P0073,D0011,C00368,379,41487,45173,7050,9.87,1.23,99.37
S000271,2025-03-20,P0103,D0287,C00058,96,47883,40630,2716,4.01,1.93,88.58
S000272,2024-09-08,P0160,D0256,C00281,454,1916,32371,9434,9.62,2.39,95.81
S000273,2025-04-19,P0041,D0012,C00557,13,24648,11858,4669,9.87,1.25,88.88
S000274,2024-10-09,P0114,D0078,C00102,1,40449,39772,4923,8.27,2.29,84.55
S000275,2024-10-22,P0008,D0172,C00048,150,45135,35594,687,1.25,0.92,98.73
S000276,2024-07-27,P0072,D0096,C00562,117,44594,56704,1289,5.84,1.34,94.24
S000277,2025-03-13,P0178,D0273,C00593,152,38460,49205,8352,7.32,1.3,97.27
S000278,2023-12-11,P0092,D0179,C00812,64,16855,34793,9594,0.77,3.64,82.32
S000279,2024-09-04,P0062,D0064,C00059,425,27736,1785,7015,8.94,2.29,94.1
S000280,2025-09-16,P0084,D0132,C00161,478,2335,46090,136,8.52,3.08,92.81
S000281,2024-08-25,P0062,D0272,C00103,150,28192,51952,9449,9.34,3.35,89.68
S000282,2025-01-14,P0111,D0109,C00846,317,29294,32114,8018,5.14,0.34,82.84
S000283,2025-05-14,P0127,D0273,C00412,364,11892,28865,4930,3.24,3.97,88.3
S000284,2024-10-27,P0007,D0168,C00786,12,43913,6186,7415,5.06,1.42,92.35
S000285,2025-01-06,P0084,D0180,C00183,90,48971,8236,3059,7.29,2.55,93.55
S000286,2025-03-05,P0132,D0058,C00417,388,26524,49351,9712,4.16,1.69,82.34
S000287,2025-03-06,P0134,D0079,C00116,83,1301,58704,8798,3.52,3.87,88.88
S000288,2025-01-11,P0058,D0061,C00874,464,41508,40369,9906,0.77,1.14,88.51
S000289,2024-11-09,P0022,D0121,C00399,250,30912,53549,9559,4.47,4.82,95.72
S000290,2024-12-29,P0154,D0207,C00957,384,15903,34994,1072,3.93,2,80.82
S000291,2024-09-10,P0127,D0034,C00779,396,28164,3640,8741,6.63,3.56,95.71
S000292,2025-04-29,P0003,D0070,C00676,33,48195,55202,311,4.39,3.21,95.67
S000293,2024-11-02,P0127,D0017,C00655,149,36469,37417,2431,0.04,3.71,93.94
S000294,2025-06-19,P0041,D0020,C00437,128,43435,48400,3701,4.84,2.76,98
S000295,2024-01-03,P0188,D0069,C00318,100,26189,56063,6520,7.74,1.92,89.3
S000296,2024-01-19,P0106,D0215,C00816,457,6644,30617,9356,9.45,0.9,81.92
S000297,2024-02-29,P0014,D0161,C00606,487,6520,39405,1546,1.93,2.6,86.63
S000298,2024-06-16,P0012,D0102,C00250,362,34436,36971,3116,4.23,0.3,92.22
S000299,2025-09-18,P0087,D0206,C00911,493,3128,10992,1632,8.47,0.29,86.46
S000300,2025-09-06,P0012,D0145,C00447,328,16459,41003,3053,0.43,3.07,92.66
S000301,2025-03-16,P0141,D0057,C00497,212,40506,8293,1933,3.5,2.4,80.87
S000302,2025-02-14,P0025,D0083,C00343,74,17601,43376,6696,5.91,2.53,81.41
